Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,57,159.46,,--,--,,--,--,,--,--
QF_BV/RWS/Example_14.txt,,71,284.71,,62,333.53,,157,657.24,,67,200.66
QF_BV/RWS/Example_2.txt,,26,68.07,,--,--,,--,--,,--,--
QF_BV/RWS/Example_4.txt,,13,46.81,,15,40.67,,22,58.7,,14,41.57
QF_BV/RWS/Example_5.txt,,13,43.38,,12,31.99,,13,27.58,,12,24.06
QF_BV/RWS/Example_6.txt,,9,13.22,,9,12.75,,12,15.87,,9,14.33
QF_BV/bench_ab/a168test0018,,2,0.05,,59,1.0,,2,0.03,,2,0.04
QF_BV/bench_ab/a403test0043,,3,0.06,,153,2.71,,4,0.05,,5,0.1
QF_BV/bench_ab/a423test0008,,46,0.31,,14,0.16,,2,0.03,,28,0.2
QF_BV/bench_ab/a481test0001,,6,0.38,,--,--,,--,--,,--,--
QF_BV/bench_ab/a493test0006,,6,0.43,,--,--,,--,--,,--,--
QF_BV/bench_ab/a503test0089,,3,0.11,,4,0.11,,3,0.05,,3,0.12
QF_BV/bench_ab/a628test0066,,1,0.07,,1,0.05,,1,0.05,,1,0.05
QF_BV/bench_ab/a639test0017,,26,0.39,,221,4.94,,45,0.48,,48,0.7
QF_BV/bench_ab/a651test0090,,41,0.52,,39,0.7,,54,0.41,,17,0.23
QF_BV/bench_ab/a655test0003,,22,0.25,,39,0.73,,96,0.85,,27,0.25
QF_BV/bench_ab/a656test0092,,1,0.05,,1,0.02,,1,0.03,,1,0.03
QF_BV/bench_ab/a659test0071,,40,0.43,,39,0.58,,8,0.08,,34,0.39
QF_BV/bench_ab/a688test0103,,1,0.03,,1,0.05,,1,0.02,,1,0.04
QF_BV/bmc-bv/adpcm,,1,0.02,,--,--,,1,0.02,,1,0.03
QF_BV/bmc-bv/ex19,,--,--,,--,--,,--,--,,--,--
QF_BV/bmc-bv/fermat,,6,12.49,,--,--,,--,--,,--,--
QF_BV/bmc-bv/graycode,,4,5.98,,4,2.27,,5,7.24,,4,6.38
QF_BV/bmc-bv/inf1,,4,0.32,,--,--,,4,0.29,,4,0.31
QF_BV/bmc-bv/magic,,3,12.08,,4,9.09,,4,14.25,,3,10.05
QF_BV/bmc-bv/matrixsqrt,,3,6.2,,4,1.12,,4,9.43,,3,9.21
QF_BV/bmc-bv/queens,,4,8.9,,4,5.98,,4,9.2,,4,9.37
QF_BV/bmc-bv/send-more-money,,1,2.04,,1,0.37,,1,2.32,,1,2.17
QF_BV/bmc-bv/sort,,1,0.42,,1,0.31,,1,0.37,,1,0.47
QF_BV/bmc-bv/sudoku,,2,66.3,,2,51.01,,2,47.42,,2,36.3
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,6,5.14,,9,10.19,,6,2.13,,4,1.7
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,6,10.32,,8,8.91,,7,3.55,,5,1.83
QF_BV/brummayerbiere2/smulov4bw0032,,4,3.01,,--,--,,4,2.94,,4,3.46
QF_BV/brummayerbiere2/smulov4bw0064,,5,19.29,,--,--,,5,17.07,,4,10.85
QF_BV/brummayerbiere2/smulov4bw0128,,5,103.29,,--,--,,6,99.53,,5,78.74
QF_BV/brummayerbiere2/smulov4bw0256,,5,1160.72,,--,--,,5,1106.93,,5,1199.51
QF_BV/gulwani-pldi08/fig1d.phx,,14,228.41,,31,196.16,,--,--,,16,175.62
QF_BV/gulwani-pldi08/fig5.phx,,10,92.01,,--,--,,--,--,,--,--
QF_BV/gulwani-pldi08/fig6.phx,,13,34.44,,--,--,,--,--,,--,--
QF_BV/gulwani-pldi08/merge.phx,,2,20.54,,2,6.04,,2,22.78,,2,20.4
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,8,59.73,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_1141,,5,7.98,,--,--,,6,8.01,,5,6.05
QF_BV/sage/app1/bench_1288,,5,8.62,,7,4.37,,6,8.31,,5,6.82
QF_BV/sage/app1/bench_1339,,5,4.31,,6,3.05,,7,7.08,,4,3.63
QF_BV/sage/app1/bench_1346,,6,6.06,,9,4.06,,7,7.0,,6,5.06
QF_BV/sage/app1/bench_1710,,5,0.17,,--,--,,7,0.14,,6,0.19
QF_BV/sage/app1/bench_1742,,3,0.15,,622,49.32,,4,0.13,,5,0.23
QF_BV/sage/app1/bench_1768,,4,0.16,,--,--,,3,0.11,,4,0.11
QF_BV/sage/app12/bench_1183,,22,96.84,,24,58.68,,--,--,,21,52.31
QF_BV/sage/app12/bench_1353,,49,24.61,,--,--,,33,3.2,,2,0.75
QF_BV/sage/app12/bench_2211,,4,1.32,,18,2.21,,3,1.01,,3,1.25
QF_BV/sage/app12/bench_2353,,91,331.65,,--,--,,84,46.66,,2,2.48
QF_BV/sage/app12/bench_363,,3,0.26,,84,6.53,,5,0.29,,3,0.3
QF_BV/sage/app12/bench_3921,,--,--,,--,--,,27,0.35,,--,--
QF_BV/sage/app12/bench_4066,,1,0.03,,1,0.03,,1,0.01,,1,0.17
QF_BV/sage/app12/bench_4177,,2,0.05,,--,--,,3,0.04,,2,0.06
QF_BV/sage/app12/bench_446,,4,0.18,,--,--,,--,--,,--,--
QF_BV/sage/app12/bench_5599,,3,0.19,,--,--,,2,0.1,,3,0.22
QF_BV/sage/app12/bench_797,,1,0.07,,1,0.04,,1,0.01,,1,0.04
QF_BV/sage/app12/bench_953,,4,0.14,,121,3.47,,46,0.89,,3,0.11
QF_BV/sage/app12/bench_971,,1,0.02,,1,0.02,,1,0.01,,1,0.04
QF_BV/sage/app2/bench_1196,,8,13.93,,--,--,,8,9.31,,9,10.1
QF_BV/sage/app2/bench_1387,,43,506.25,,--,--,,70,309.77,,57,223.89
QF_BV/sage/app2/bench_225,,9,14.78,,--,--,,12,12.98,,14,14.09
QF_BV/sage/app2/bench_278,,5,9.83,,--,--,,4,8.16,,5,9.45
QF_BV/sage/app2/bench_282,,5,10.68,,--,--,,9,16.77,,5,12.01
QF_BV/sage/app2/bench_458,,185,6.91,,--,--,,--,--,,--,--
QF_BV/sage/app2/bench_48,,42,14.99,,--,--,,--,--,,--,--
QF_BV/sage/app2/bench_642,,23,31.32,,--,--,,65,53.79,,--,--
QF_BV/sage/app2/bench_645,,9,4.48,,21,4.63,,--,--,,7,3.7
QF_BV/sage/app2/bench_664,,23,25.98,,--,--,,53,54.39,,--,--
QF_BV/sage/app2/bench_719,,24,33.99,,--,--,,99,87.75,,--,--
QF_BV/sage/app2/bench_830,,23,26.62,,--,--,,154,113.09,,--,--
QF_BV/sage/app2/bench_863,,6,9.12,,--,--,,7,7.22,,6,7.61
QF_BV/sage/app5/bench_1163,,26,5.85,,--,--,,--,--,,--,--
QF_BV/sage/app5/bench_1169,,1,0.04,,1,0.05,,1,0.02,,1,0.03
QF_BV/sage/app5/bench_1170,,10,2.0,,--,--,,--,--,,--,--
QF_BV/sage/app5/bench_1182,,6,13.49,,--,--,,--,--,,--,--
QF_BV/sage/app5/bench_1262,,4,0.25,,--,--,,--,--,,--,--
QF_BV/sage/app5/bench_1298,,1,0.08,,1,0.04,,1,0.01,,1,0.02
QF_BV/sage/app5/bench_349,,5,14.52,,--,--,,6,15.49,,5,14.09
QF_BV/sage/app5/bench_357,,6,18.0,,--,--,,7,16.24,,5,11.53
QF_BV/sage/app5/bench_42,,7,10.13,,88,23.27,,6,7.12,,5,7.47
QF_BV/sage/app5/bench_555,,1,0.03,,1,0.1,,1,0.02,,1,0.02
QF_BV/sage/app5/bench_565,,1,0.03,,1,0.05,,1,0.02,,1,0.03
QF_BV/sage/app5/bench_575,,5,0.19,,--,--,,--,--,,--,--
QF_BV/sage/app5/bench_597,,1,0.05,,1,0.04,,1,0.01,,1,0.03
QF_BV/sage/app5/bench_742,,4,0.48,,802,307.68,,6,0.44,,4,0.46
QF_BV/sage/app5/bench_794,,3,0.06,,--,--,,--,--,,2,0.07
QF_BV/sage/app5/bench_959,,6,1.0,,--,--,,8,1.38,,6,1.16
QF_BV/sage/app5/bench_960,,7,0.16,,--,--,,--,--,,--,--
QF_BV/sage/app8/bench_1892,,8,2.09,,6,0.82,,6,1.31,,51,10.38
QF_BV/sage/app8/bench_2006,,7,1.72,,48,5.09,,15,3.38,,5,1.19
QF_BV/sage/app8/bench_23,,5,3.91,,5,1.64,,5,3.65,,5,4.02
QF_BV/sage/app8/bench_2310,,5,0.64,,--,--,,6,0.65,,5,0.72
QF_BV/sage/app8/bench_2880,,16,5.6,,20,3.06,,8,2.47,,6,1.95
QF_BV/sage/app8/bench_3177,,7,3.62,,66,21.38,,8,4.05,,7,3.23
QF_BV/sage/app8/bench_3314,,7,3.0,,12,1.9,,10,3.84,,6,2.39
QF_BV/sage/app8/bench_3368,,5,2.28,,14,2.24,,5,2.28,,5,2.82
QF_BV/sage/app8/bench_3424,,5,1.38,,17,1.99,,9,2.53,,5,1.28
QF_BV/sage/app8/bench_3448,,4,0.43,,7,0.46,,5,0.53,,5,0.53
QF_BV/sage/app8/bench_3677,,5,0.32,,--,--,,6,0.46,,21,1.67
QF_BV/sage/app8/bench_3814,,6,1.74,,9,1.24,,9,2.5,,5,1.58
QF_BV/sage/app8/bench_3836,,3,0.08,,--,--,,2,0.03,,3,0.06
QF_BV/sage/app8/bench_400,,7,42.02,,17,56.68,,11,45.79,,6,18.76
QF_BV/sage/app8/bench_443,,8,39.45,,14,41.76,,9,31.96,,9,24.32
QF_BV/sage/app8/bench_498,,7,37.7,,12,36.01,,8,39.58,,7,21.19
QF_BV/sage/app8/bench_525,,108,8.27,,--,--,,20,1.33,,12,0.94
QF_BV/sage/app8/bench_828,,9,32.79,,15,33.96,,16,36.63,,11,21.84
QF_BV/sage/app9/bench_1203,,5,1.63,,8,1.06,,8,2.34,,5,1.69
QF_BV/sage/app9/bench_1269,,5,1.05,,--,--,,7,1.21,,5,1.09
QF_BV/sage/app9/bench_1323,,5,0.79,,--,--,,19,2.59,,6,1.0
QF_BV/sage/app9/bench_1384,,9,9.09,,--,--,,16,14.24,,9,6.97
QF_BV/sage/app9/bench_1400,,11,10.62,,13,3.67,,33,25.79,,11,9.8
QF_BV/sage/app9/bench_1552,,7,3.3,,--,--,,37,16.68,,6,2.75
QF_BV/sage/app9/bench_1659,,10,5.51,,24,5.27,,46,19.5,,9,5.09
QF_BV/sage/app9/bench_2061,,5,0.15,,--,--,,--,--,,--,--
QF_BV/sage/app9/bench_2127,,1,0.03,,1,0.07,,1,0.02,,1,0.03
QF_BV/sage/app9/bench_2358,,2,0.05,,--,--,,2,0.02,,2,0.03
QF_BV/sage/app9/bench_2518,,5,0.91,,50,4.2,,6,1.25,,5,1.1
QF_BV/sage/app9/bench_2940,,7,2.41,,7,1.42,,59,21.37,,7,2.3
QF_BV/sage/app9/bench_3134,,7,38.55,,9,30.64,,11,43.7,,8,35.1
QF_BV/sage/app9/bench_3261,,2,0.07,,--,--,,2,0.04,,2,0.06
QF_BV/sage/app9/bench_3270,,1,0.03,,1,0.04,,1,0.02,,1,0.03
QF_BV/sage/app9/bench_3278,,7,38.78,,10,37.01,,11,41.25,,8,22.32
QF_BV/sage/app9/bench_866,,1,0.04,,1,0.03,,1,0.02,,1,0.05
QF_BV/sage/app9/bench_885,,7,7.1,,--,--,,--,--,,--,--
QF_BV/sage/app9/bench_919,,6,0.3,,--,--,,6,0.23,,5,0.23
QF_BV/sage/app9/bench_979,,4,0.19,,111,4.39,,11,0.4,,4,0.27
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,5,21.12,,--,--,,5,23.05,,5,23.09
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,6,30.05,,--,--,,5,23.9,,5,18.03
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,6,34.24,,--,--,,7,37.91,,5,19.13
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,9,149.09,,--,--,,--,--,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,9,181.49,,--,--,,--,--,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,8,131.06,,--,--,,--,--,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,8,124.2,,--,--,,--,--,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,9,132.47,,--,--,,--,--,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,8,139.06,,--,--,,--,--,,--,--
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,8,3.65,,11,3.19,,34,10.79,,8,2.75
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,9,3.63,,12,3.61,,34,11.19,,9,2.47
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,12,6.28,,13,5.81,,--,--,,12,4.67
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,13,7.24,,15,5.88,,--,--,,15,6.18
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,3,7.03,,13,31.04,,3,1.97,,2,3.25
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,841,431.22,,--,--,,--,--,,--,--
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,53,25.93,,--,--,,--,--,,--,--
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,25,4.9,,--,--,,134,16.28,,--,--
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,9,2.61,,--,--,,313,58.04,,--,--
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,11,5.55,,--,--,,17,3.58,,--,--
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,12,6.92,,--,--,,16,3.87,,--,--
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,12,7.54,,--,--,,16,3.9,,--,--
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,12,8.09,,--,--,,10,2.47,,15,6.34
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,9,7.57,,--,--,,14,3.92,,15,5.9
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,8,4.92,,--,--,,12,3.86,,10,5.73
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,9,5.4,,--,--,,16,5.41,,9,5.29
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,6,4.23,,--,--,,7,2.09,,7,4.24
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,9,8.71,,--,--,,15,5.58,,12,7.22
QF_BV/tacas07/s-40-50-bv,,25,464.5,,--,--,,--,--,,--,--
,,,,,,,,,,,,
QF_ABV/bench_ab/a271test0009,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a283test0002,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a288test0004,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a296test0002,,3,6.24,,2,191.22,,3,6.77,,3,6.03
QF_ABV/bench_ab/a84test0002,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/b264test0001,,2,0.12,,2,0.07,,2,0.11,,2,0.13
QF_ABV/bmc-arrays/ex20,,6,95.19,,--,--,,41,290.74,,7,69.99
QF_ABV/bmc-arrays/ex6,,12,1.64,,82,59.37,,27,4.43,,16,2.7
QF_ABV/bmc-arrays/inf4,,3,1.51,,8,1.09,,3,1.35,,3,1.43
QF_ABV/bmc-arrays/simple_control_on_input,,6,12.67,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_noof_functions_dwp_cut.hash_get_entries.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_noof_functions_dwp_setuidgid.get_quoting_style.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_kill.close_stdout_set_file_name.il.dwp,,34,5.32,,6,23.81,,29,4.72,,--,--
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_hostid.set_quoting_style.il.fse-bfs,,16,7.08,,--,--,,93,61.08,,43,32.07
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.bkm_scale.il.fse-bfs,,15,16.88,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.set_quoting_style.il.fse-bfs,,--,--,,--,--,,11,4.94,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_echo.set_char_quoting.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_expr.set_char_quoting.il.dwp,,39,2.97,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_char_quoting.il.dwp,,13,0.88,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_whoami.set_quoting_style.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try4_true_functions_dwp_nl.get_quoting_style.il.dwp,,35,0.97,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_echo.set_quoting_style.il.dwp,,6,25.73,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_factor.close_stdout_set_file_name.il.dwp,,--,--,,6,28.8,,60,28.01,,197,1830.7
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_touch.close_stdout_set_file_name.il.fse-bfs,,--,--,,--,--,,136,101.67,,14,2.84
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_vdir.strmode.il.fse-bfs,,36,158.4,,--,--,,116,589.9,,40,218.78
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_mkdir.set_quoting_style.il.dwp,,115,5.48,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_size.il.dwp,,9,31.73,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.strcmp_ctime.il.dwp,,8,20.96,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_wp_stat.set_char_quoting.il.wp,,57,120.23,,--,--,,251,1870.27,,62,103.34
QF_ABV/egt/egt-0474,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-1526,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-1550,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-4211,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-6650,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-7155,,--,--,,--,--,,--,--,,--,--
QF_ABV/platania/no_init_simple_member/no_init_simple_member2,,2,0.26,,--,--,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021458_0x7c80a939_00,,12,7.25,,--,--,,85,48.83,,15,7.68
QF_ABV/stp_samples/run_00000.trace.cond_021487_0x7c80aacd_00,,13,10.43,,23,11.16,,--,--,,14,6.67
QF_ABV/stp_samples/run_00000.trace.cond_021513_0x7c80ab56_00,,12,7.06,,--,--,,49,25.87,,12,7.77
QF_ABV/stp_samples/run_00000.trace.cond_021516_0x7c80ab62_00,,15,13.79,,--,--,,41,27.49,,14,7.46
QF_ABV/stp_samples/run_00000.trace.cond_021524_0x7c80ab81_00,,13,11.56,,--,--,,88,65.07,,15,9.8
QF_ABV/stp_samples/run_00000.trace.cond_021528_0x7c80ab8f_00,,14,11.99,,411,378.58,,55,35.35,,12,6.24
QF_ABV/stp_samples/run_00000.trace.cond_021530_0x7c80ab96_00,,--,--,,--,--,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021534_0x7c80aba4_00,,14,11.24,,156,117.31,,45,33.16,,13,7.53
QF_ABV/stp_samples/run_00000.trace.cond_022152_0x7c80a939_00,,12,11.78,,--,--,,604,1619.93,,13,8.15
QF_ABV/stp_samples/run_00000.trace.cond_022198_0x7c80ab39_00,,13,12.15,,--,--,,248,345.07,,14,9.47
QF_ABV/stp_samples/run_00000.trace.cond_022207_0x7c80ab56_00,,14,13.37,,--,--,,43,24.99,,13,8.09
QF_ABV/stp_samples/run_00000.trace.cond_022301_0x9503aad_00,,22,21.11,,--,--,,--,--,,18,11.25
QF_ABV/stp_samples/run_00000.trace.cond_022628_0x9502edb_00,,12,9.87,,--,--,,59,42.78,,13,9.04
QF_ABV/stp_samples/run_00000.trace.cond_022643_0x9502eaf_00,,16,18.18,,--,--,,26,17.56,,16,9.49
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__014071,,156,399.76,,46,17.37,,--,--,,--,--
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015045,,8,4.1,,11,5.11,,10,3.51,,8,3.54
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015532,,7,4.61,,9,4.39,,15,6.88,,8,3.81
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__016019,,7,5.33,,9,5.6,,9,4.17,,7,4.3
QF_ABV/stp_samples/run_00007.trace.cond_014512_0x950130a_00,,6,1.96,,10,3.27,,9,2.59,,7,2.46
QF_ABV/stp_samples/run_00007.trace.cond_014534_0x95026e6_00,,6,2.7,,12,4.28,,9,3.19,,6,2.55
,,,,,,,,,,,,
